F1,F2,F3,F4,F5,F6,F7,F8,F9,Class
1,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,1,0
0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,1,1,0
2,0,1,0,0,1,0,0,2,0
1,0,0,0,0,0,0,0,1,0
1,1,0,0,0,0,0,14,1,0
0,0,0,0,0,0,1,2,0,0
0,0,0,0,0,0,1,10,0,0
2,1,0,0,0,0,1,12,1,0
1,1,1,0,0,1,0,7,1,0
3,1,1,0,0,0,0,5,4,0
0,0,0,1,0,0,1,8,0,0
0,0,0,0,0,0,0,0,0,0
3,0,1,0,0,1,0,0,3,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,9,1,0
0,0,0,0,0,0,0,16,2,0
2,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,4,1,0
0,0,0,0,0,0,0,0,1,0
1,1,0,0,0,0,0,4,1,0
0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,1,1,0
1,0,0,0,0,0,0,0,3,0
2,1,0,0,0,0,0,2,1,0
2,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,2,0
1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,2,0
1,1,0,0,0,0,1,4,0,0
2,0,1,0,0,0,0,1,1,0
1,1,1,0,0,0,0,6,1,0
1,1,1,0,0,0,0,15,1,0
1,1,0,0,0,0,0,20,0,0
2,0,1,0,0,0,1,1,1,0
0,0,0,0,0,0,0,2,0,0
2,0,1,0,0,0,0,0,1,0
2,0,1,0,0,1,0,2,0,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,1,4,0,0
1,0,0,0,0,0,0,1,1,0
2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,2,0
1,1,0,0,0,0,0,2,2,0
2,1,0,0,0,0,0,8,1,0
0,0,0,0,0,0,0,6,2,0
0,0,0,0,0,0,0,0,0,0
2,0,1,0,0,1,0,0,2,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3,2,0
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,3,2,0
0,0,0,0,0,0,0,16,3,0
1,1,0,0,0,0,0,4,1,0
1,0,0,0,0,0,1,1,0,0
1,0,0,0,0,0,0,4,2,0
0,0,0,0,0,0,0,7,2,0
2,0,1,0,0,1,0,1,0,0
1,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,10,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,2,1,0
0,0,0,0,0,0,0,1,0,0
2,0,0,0,0,0,0,0,2,0
1,0,0,0,0,0,1,0,2,0
